# ell, fid_Cl_tt, fid_Cl_te, fid_Cl_ee
2.460000000000000000e+02 5.722978328731436193e-01 5.812868984529287637e-03 2.129048585212050073e-04
2.470000000000000000e+02 5.660869595729449699e-01 5.935671148362344114e-03 2.186372476004962455e-04
2.480000000000000000e+02 5.599011025283258114e-01 6.055585673717876240e-03 2.244913624551381172e-04
2.490000000000000000e+02 5.537408165620895106e-01 6.172600523498259807e-03 2.304646729599147033e-04
2.500000000000000000e+02 5.476066564970403228e-01 6.286703660605874946e-03 2.365546489896106267e-04
2.510000000000000000e+02 5.414991771559815037e-01 6.397883047943097451e-03 2.427587604190100496e-04
2.520000000000000000e+02 5.354189333617173085e-01 6.506126648412304848e-03 2.490744771228974594e-04
2.530000000000000000e+02 5.293664799370512153e-01 6.611422424915875534e-03 2.554992689760570996e-04
2.540000000000000000e+02 5.233423717047872570e-01 6.713758340356185302e-03 2.620306058532734846e-04
2.550000000000000000e+02 5.173471634877290226e-01 6.813122357635612546e-03 2.686659576293308851e-04
2.560000000000000000e+02 5.113814101086804342e-01 6.909502439656535662e-03 2.754027941790136800e-04
2.570000000000000000e+02 5.054456663904453029e-01 7.002886549321332178e-03 2.822385853771061399e-04
2.580000000000000000e+02 4.995404871558272730e-01 7.093262649532378755e-03 2.891708010983929148e-04
2.590000000000000000e+02 4.936664272276301557e-01 7.180618703192051186e-03 2.961969112176580585e-04
2.600000000000000000e+02 4.878240414286579840e-01 7.264942673202730468e-03 3.033143856096860583e-04
2.610000000000000000e+02 4.820138845817142914e-01 7.346222522466792394e-03 3.105206941492613475e-04
2.620000000000000000e+02 4.762365115096029999e-01 7.424446213886612758e-03 3.178133067111681424e-04
2.630000000000000000e+02 4.704924770351278096e-01 7.499601710364572557e-03 3.251896931701908763e-04
2.640000000000000000e+02 4.647823359810926425e-01 7.571676974803046717e-03 3.326473234011139823e-04
2.650000000000000000e+02 4.591066431703011985e-01 7.640659970104413633e-03 3.401836672787217309e-04
2.660000000000000000e+02 4.534659150433194008e-01 7.706543828856438939e-03 3.477960268043649226e-04
2.670000000000000000e+02 4.478605145117613984e-01 7.769342362388438963e-03 3.554810324856603142e-04
2.680000000000000000e+02 4.422907661050036188e-01 7.829074551715118138e-03 3.632351469567906502e-04
2.690000000000000000e+02 4.367569943524223230e-01 7.885759377851185234e-03 3.710548328519391631e-04
2.700000000000000000e+02 4.312595237833941608e-01 7.939415821811341215e-03 3.789365528052888142e-04
2.710000000000000000e+02 4.257986789272950046e-01 7.990062864610290513e-03 3.868767694510224565e-04
2.720000000000000000e+02 4.203747843135013373e-01 8.037719487262741033e-03 3.948719454233233766e-04
2.730000000000000000e+02 4.149881644713897533e-01 8.082404670783398942e-03 4.029185433563745901e-04
